-1.9448215E7 90.95	2012-12-06
['-1.9448215E7', '90.95', '2012-12-06']
-1.6971844E7 91.51	2012-12-07
['-1.6971844E7', '91.51', '2012-12-07']
-1.4124163E7 91.87	2012-12-10
['-1.4124163E7', '91.87', '2012-12-10']
-1.03023E7 93.68	2012-12-11
['-1.03023E7', '93.68', '2012-12-11']
-1.4367192E7 93.12	2012-12-12
['-1.4367192E7', '93.12', '2012-12-12']
-1.6988573E7 92.5	2012-12-13
['-1.6988573E7', '92.5', '2012-12-13']
-1.9697494E7 92.28	2012-12-14
['-1.9697494E7', '92.28', '2012-12-14']
-1.694387E7 93.03	2012-12-17
['-1.694387E7', '93.03', '2012-12-17']
-1.414388E7 93.85	2012-12-18
['-1.414388E7', '93.85', '2012-12-18']
-1.7398646E7 93.02	2012-12-19
['-1.7398646E7', '93.02', '2012-12-19']
-1.4108506E7 94.13	2012-12-20
['-1.4108506E7', '94.13', '2012-12-20']
-2.0088032E7 93.1	2012-12-21
['-2.0088032E7', '93.1', '2012-12-21']
-1.9134681E7 93.19	2012-12-24
['-1.9134681E7', '93.19', '2012-12-24']
-2.0677528E7 93.07	2012-12-26
['-2.0677528E7', '93.07', '2012-12-26']
-2.3038456E7 92.64	2012-12-27
['-2.3038456E7', '92.64', '2012-12-27']
-2.4915725E7 91.78	2012-12-28
['-2.4915725E7', '91.78', '2012-12-28']
-2.2334438E7 92.85	2012-12-31
['-2.2334438E7', '92.85', '2012-12-31']
-2.4129384E7 94.78	2013-01-02
['-2.4129384E7', '94.78', '2013-01-02']
-2.6833919E7 94.67	2013-01-03
['-2.6833919E7', '94.67', '2013-01-03']
-2.4128942E7 95.37	2013-01-04
['-2.4128942E7', '95.37', '2013-01-04']
-2.1383141E7 95.49	2013-01-07
['-2.1383141E7', '95.49', '2013-01-07']
-1.8726279E7 95.5	2013-01-08
['-1.8726279E7', '95.5', '2013-01-08']
-1.6366632E7 96.41	2013-01-09
['-1.6366632E7', '96.41', '2013-01-09']
-1.3766126E7 96.89	2013-01-10
['-1.3766126E7', '96.89', '2013-01-10']
-1.6690008E7 96.28	2013-01-11
['-1.6690008E7', '96.28', '2013-01-11']
-1.4097593E7 97.08	2013-01-14
['-1.4097593E7', '97.08', '2013-01-14']
-1.1991226E7 97.29	2013-01-15
['-1.1991226E7', '97.29', '2013-01-15']
-9899019.0 97.6	2013-01-16
['-9899019.0', '97.6', '2013-01-16']
-7094664.0 98.08	2013-01-17
['-7094664.0', '98.08', '2013-01-17']
-3903794.0 98.74	2013-01-18
['-3903794.0', '98.74', '2013-01-18']
-688171.0 99.33	2013-01-22
['-688171.0', '99.33', '2013-01-22']
2891308.0 99.49	2013-01-23
['2891308.0', '99.49', '2013-01-23']
6709541.0 99.67	2013-01-24
['6709541.0', '99.67', '2013-01-24']
1.0947522E7 100.59	2013-01-25
['1.0947522E7', '100.59', '2013-01-25']
1.391244E7 100.65	2013-01-28
['1.391244E7', '100.65', '2013-01-28']
1.7443294E7 101.81	2013-01-29
['1.7443294E7', '101.81', '2013-01-29']
1.4618918E7 100.8	2013-01-30
['1.4618918E7', '100.8', '2013-01-30']
1.0853584E7 100.55	2013-01-31
['1.0853584E7', '100.55', '2013-01-31']
1.4708062E7 101.56	2013-02-01
['1.4708062E7', '101.56', '2013-02-01']
1.2720484E7 100.77	2013-02-04
['1.2720484E7', '100.77', '2013-02-04']
1.5553517E7 101.49	2013-02-05
['1.5553517E7', '101.49', '2013-02-05']
1.9064037E7 102.69	2013-02-06
['1.9064037E7', '102.69', '2013-02-06']
1.6786534E7 102.22	2013-02-07
['1.6786534E7', '102.22', '2013-02-07']
1.8724255E7 102.66	2013-02-08
['1.8724255E7', '102.66', '2013-02-08']
1.7008811E7 102.62	2013-02-11
['1.7008811E7', '102.62', '2013-02-11']
1.8936841E7 103.46	2013-02-12
['1.8936841E7', '103.46', '2013-02-12']
1.7237037E7 102.86	2013-02-13
['1.7237037E7', '102.86', '2013-02-13']
1.5019618E7 102.78	2013-02-14
['1.5019618E7', '102.78', '2013-02-14']
1.7345777E7 103.23	2013-02-15
['1.7345777E7', '103.23', '2013-02-15']
2.0334414E7 104.18	2013-02-19
['2.0334414E7', '104.18', '2013-02-19']
1.7337222E7 103.15	2013-02-20
['1.7337222E7', '103.15', '2013-02-20']
1.4578494E7 102.72	2013-02-21
['1.4578494E7', '102.72', '2013-02-21']
1.6736507E7 103.54	2013-02-22
['1.6736507E7', '103.54', '2013-02-22']
1.3712975E7 101.75	2013-02-25
['1.3712975E7', '101.75', '2013-02-25']
1.618579E7 102.31	2013-02-26
['1.618579E7', '102.31', '2013-02-26']
1.8539786E7 103.57	2013-02-27
['1.8539786E7', '103.57', '2013-02-27']
2.1411303E7 104.0	2013-02-28
['2.1411303E7', '104.0', '2013-02-28']
1.8750458E7 103.77	2013-03-01
['1.8750458E7', '103.77', '2013-03-01']
1.618421E7 103.28	2013-03-04
['1.618421E7', '103.28', '2013-03-04']
1.8816348E7 104.45	2013-03-05
['1.8816348E7', '104.45', '2013-03-05']
2.2286684E7 104.66	2013-03-06
['2.2286684E7', '104.66', '2013-03-06']
2.0408132E7 104.54	2013-03-07
['2.0408132E7', '104.54', '2013-03-07']
2.2766532E7 105.71	2013-03-08
['2.2766532E7', '105.71', '2013-03-08']
2.4487763E7 105.81	2013-03-11
['2.4487763E7', '105.81', '2013-03-11']
2.2260984E7 105.13	2013-03-12
['2.2260984E7', '105.13', '2013-03-12']
2.0201206E7 105.09	2013-03-13
['2.0201206E7', '105.09', '2013-03-13']
2.2408414E7 106.02	2013-03-14
['2.2408414E7', '106.02', '2013-03-14']
2.7558165E7 106.4	2013-03-15
['2.7558165E7', '106.4', '2013-03-15']
2.5746784E7 105.41	2013-03-18
['2.5746784E7', '105.41', '2013-03-18']
2.2533948E7 105.18	2013-03-19
['2.2533948E7', '105.18', '2013-03-19']
2.4333793E7 105.66	2013-03-20
['2.4333793E7', '105.66', '2013-03-20']
2.2395868E7 104.94	2013-03-21
['2.2395868E7', '104.94', '2013-03-21']
2.4805572E7 106.42	2013-03-22
['2.4805572E7', '106.42', '2013-03-22']
2.1066426E7 105.17	2013-03-25
['2.1066426E7', '105.17', '2013-03-25']
2.2959881E7 106.07	2013-03-26
['2.2959881E7', '106.07', '2013-03-26']
2.0830214E7 105.29	2013-03-27
['2.0830214E7', '105.29', '2013-03-27']
2.3106831E7 106.31	2013-03-28
['2.3106831E7', '106.31', '2013-03-28']
2.1421452E7 105.65	2013-04-01
['2.1421452E7', '105.65', '2013-04-01']
2.3519244E7 106.52	2013-04-02
['2.3519244E7', '106.52', '2013-04-02']
2.0240435E7 105.68	2013-04-03
['2.0240435E7', '105.68', '2013-04-03']
2.2011652E7 105.82	2013-04-04
['2.2011652E7', '105.82', '2013-04-04']
1.953389E7 105.78	2013-04-05
['1.953389E7', '105.78', '2013-04-05']
1.7586226E7 105.75	2013-04-08
['1.7586226E7', '105.75', '2013-04-08']
1.9956745E7 105.95	2013-04-09
['1.9956745E7', '105.95', '2013-04-09']
2.3219675E7 107.69	2013-04-10
['2.3219675E7', '107.69', '2013-04-10']
2.5357852E7 108.25	2013-04-11
['2.5357852E7', '108.25', '2013-04-11']
2.3246465E7 107.68	2013-04-12
['2.3246465E7', '107.68', '2013-04-12']
1.9569146E7 105.76	2013-04-15
['1.9569146E7', '105.76', '2013-04-15']
2.2205981E7 106.15	2013-04-16
['2.2205981E7', '106.15', '2013-04-16']
1.9050641E7 105.48	2013-04-17
['1.9050641E7', '105.48', '2013-04-17']
1.5904948E7 104.98	2013-04-18
['1.5904948E7', '104.98', '2013-04-18']
1.9228649E7 105.71	2013-04-19
['1.9228649E7', '105.71', '2013-04-19']
2.1875378E7 105.8	2013-04-22
['2.1875378E7', '105.8', '2013-04-22']
2.5085231E7 107.39	2013-04-23
['2.5085231E7', '107.39', '2013-04-23']
2.8323444E7 107.87	2013-04-24
['2.8323444E7', '107.87', '2013-04-24']
1.9295853E7 104.88	2013-04-25
['1.9295853E7', '104.88', '2013-04-25']
1.5936469E7 103.79	2013-04-26
['1.5936469E7', '103.79', '2013-04-26']
1.8840777E7 103.83	2013-04-29
['1.8840777E7', '103.83', '2013-04-29']
2.2610478E7 104.71	2013-04-30
['2.2610478E7', '104.71', '2013-04-30']
1.935161E7 104.55	2013-05-01
['1.935161E7', '104.55', '2013-05-01']
2.247165E7 106.04	2013-05-02
['2.247165E7', '106.04', '2013-05-02']
2.5484701E7 107.83	2013-05-03
['2.5484701E7', '107.83', '2013-05-03']
2.7659015E7 107.84	2013-05-06
['2.7659015E7', '107.84', '2013-05-06']
2.9894516E7 108.01	2013-05-07
['2.9894516E7', '108.01', '2013-05-07']
3.2548869E7 108.2	2013-05-08
['3.2548869E7', '108.2', '2013-05-08']
3.7035792E7 109.92	2013-05-09
['3.7035792E7', '109.92', '2013-05-09']
4.0029469E7 110.48	2013-05-10
['4.0029469E7', '110.48', '2013-05-10']
4.2074997E7 110.5	2013-05-13
['4.2074997E7', '110.5', '2013-05-13']
4.4557689E7 110.59	2013-05-14
['4.4557689E7', '110.59', '2013-05-14']
4.7470226E7 111.5	2013-05-15
['4.7470226E7', '111.5', '2013-05-15']
4.4783818E7 111.07	2013-05-16
['4.4783818E7', '111.07', '2013-05-16']
4.8844499E7 111.39	2013-05-17
['4.8844499E7', '111.39', '2013-05-17']
5.1301745E7 111.72	2013-05-20
['5.1301745E7', '111.72', '2013-05-20']
5.3775746E7 112.01	2013-05-21
['5.3775746E7', '112.01', '2013-05-21']
4.994226E7 110.79	2013-05-22
['4.994226E7', '110.79', '2013-05-22']
4.7373945E7 110.41	2013-05-23
['4.7373945E7', '110.41', '2013-05-23']
4.5145624E7 110.27	2013-05-24
['4.5145624E7', '110.27', '2013-05-24']
4.786757E7 111.59	2013-05-28
['4.786757E7', '111.59', '2013-05-28']
4.5753987E7 111.13	2013-05-29
['4.5753987E7', '111.13', '2013-05-29']
4.8353255E7 111.42	2013-05-30
['4.8353255E7', '111.42', '2013-05-30']
4.514378E7 110.27	2013-05-31
['4.514378E7', '110.27', '2013-05-31']
4.7791632E7 110.61	2013-06-03
['4.7791632E7', '110.61', '2013-06-03']
4.5283038E7 110.02	2013-06-04
['4.5283038E7', '110.02', '2013-06-04']
4.2592729E7 108.59	2013-06-05
['4.2592729E7', '108.59', '2013-06-05']
4.5273924E7 108.67	2013-06-06
['4.5273924E7', '108.67', '2013-06-06']
4.8650837E7 111.11	2013-06-07
['4.8650837E7', '111.11', '2013-06-07']
4.6426714E7 110.81	2013-06-10
['4.6426714E7', '110.81', '2013-06-10']
4.4675558E7 110.22	2013-06-11
['4.4675558E7', '110.22', '2013-06-11']
4.2274891E7 109.03	2013-06-12
['4.2274891E7', '109.03', '2013-06-12']
4.487901E7 111.2	2013-06-13
['4.487901E7', '111.2', '2013-06-13']
4.2862226E7 111.03	2013-06-14
['4.2862226E7', '111.03', '2013-06-14']
4.5479963E7 111.91	2013-06-17
['4.5479963E7', '111.91', '2013-06-17']
4.7175337E7 112.97	2013-06-18
['4.7175337E7', '112.97', '2013-06-18']
4.520316E7 111.57	2013-06-19
['4.520316E7', '111.57', '2013-06-19']
4.2227574E7 108.78	2013-06-20
['4.2227574E7', '108.78', '2013-06-20']
4.6902277E7 109.59	2013-06-21
['4.6902277E7', '109.59', '2013-06-21']
4.3299687E7 107.5	2013-06-24
['4.3299687E7', '107.5', '2013-06-24']
4.5976848E7 108.24	2013-06-25
['4.5976848E7', '108.24', '2013-06-25']
4.8502553E7 109.68	2013-06-26
['4.8502553E7', '109.68', '2013-06-26']
5.0735114E7 110.24	2013-06-27
['5.0735114E7', '110.24', '2013-06-27']
4.7305253E7 109.35	2013-06-28
['4.7305253E7', '109.35', '2013-06-28']
4.4636443E7 109.31	2013-07-01
['4.4636443E7', '109.31', '2013-07-01']
4.1627728E7 108.73	2013-07-02
['4.1627728E7', '108.73', '2013-07-02']
4.2991866E7 109.45	2013-07-03
['4.2991866E7', '109.45', '2013-07-03']
4.5056308E7 111.54	2013-07-05
['4.5056308E7', '111.54', '2013-07-05']
4.7628913E7 112.13	2013-07-08
['4.7628913E7', '112.13', '2013-07-08']
4.9825111E7 113.35	2013-07-09
['4.9825111E7', '113.35', '2013-07-09']
5.2131385E7 113.43	2013-07-10
['5.2131385E7', '113.43', '2013-07-10']
5.4518866E7 114.53	2013-07-11
['5.4518866E7', '114.53', '2013-07-11']
5.6810837E7 115.14	2013-07-12
['5.6810837E7', '115.14', '2013-07-12']
5.4746241E7 114.85	2013-07-15
['5.4746241E7', '114.85', '2013-07-15']
5.2287872E7 114.34	2013-07-16
['5.2287872E7', '114.34', '2013-07-16']
5.4384586E7 114.64	2013-07-17
['5.4384586E7', '114.64', '2013-07-17']
5.7330327E7 115.48	2013-07-18
['5.7330327E7', '115.48', '2013-07-18']
6.0424167E7 116.19	2013-07-19
['6.0424167E7', '116.19', '2013-07-19']
6.3247645E7 116.28	2013-07-22
['6.3247645E7', '116.28', '2013-07-22']
6.5502133E7 116.75	2013-07-23
['6.5502133E7', '116.75', '2013-07-23']
6.3692665E7 116.33	2013-07-24
['6.3692665E7', '116.33', '2013-07-24']
6.7039308E7 116.55	2013-07-25
['6.7039308E7', '116.55', '2013-07-25']
6.9371479E7 116.91	2013-07-26
['6.9371479E7', '116.91', '2013-07-26']
6.7911085E7 116.61	2013-07-29
['6.7911085E7', '116.61', '2013-07-29']
7.0196319E7 116.84	2013-07-30
['7.0196319E7', '116.84', '2013-07-30']
7.2890282E7 117.43	2013-07-31
['7.2890282E7', '117.43', '2013-07-31']
7.5887203E7 118.41	2013-08-01
['7.5887203E7', '118.41', '2013-08-01']
7.3984635E7 118.26	2013-08-02
['7.3984635E7', '118.26', '2013-08-02']
7.2632841E7 117.92	2013-08-05
['7.2632841E7', '117.92', '2013-08-05']
7.0791715E7 117.5	2013-08-06
['7.0791715E7', '117.5', '2013-08-06']
7.2725764E7 117.83	2013-08-07
['7.2725764E7', '117.83', '2013-08-07']
7.5106377E7 118.68	2013-08-08
['7.5106377E7', '118.68', '2013-08-08']
7.2646276E7 118.31	2013-08-09
['7.2646276E7', '118.31', '2013-08-09']
7.4293633E7 118.38	2013-08-12
['7.4293633E7', '118.38', '2013-08-12']
7.6317515E7 118.67	2013-08-13
['7.6317515E7', '118.67', '2013-08-13']
7.429613E7 117.62	2013-08-14
['7.429613E7', '117.62', '2013-08-14']
7.2301233E7 115.85	2013-08-15
['7.2301233E7', '115.85', '2013-08-15']
7.4634148E7 115.9	2013-08-16
['7.4634148E7', '115.9', '2013-08-16']
7.2803219E7 115.61	2013-08-19
['7.2803219E7', '115.61', '2013-08-19']
7.0649294E7 115.42	2013-08-20
['7.0649294E7', '115.42', '2013-08-20']
6.8355608E7 113.42	2013-08-21
['6.8355608E7', '113.42', '2013-08-21']
7.0357618E7 114.67	2013-08-22
['7.0357618E7', '114.67', '2013-08-22']
6.840393E7 114.4	2013-08-23
['6.840393E7', '114.4', '2013-08-23']
6.6586952E7 114.33	2013-08-26
['6.6586952E7', '114.33', '2013-08-26']
6.4670804E7 112.73	2013-08-27
['6.4670804E7', '112.73', '2013-08-27']
6.6216611E7 113.0	2013-08-28
['6.6216611E7', '113.0', '2013-08-28']
6.7673839E7 113.32	2013-08-29
['6.7673839E7', '113.32', '2013-08-29']
6.9879428E7 113.58	2013-08-30
['6.9879428E7', '113.58', '2013-08-30']
6.7711254E7 113.22	2013-09-03
['6.7711254E7', '113.22', '2013-09-03']
7.0024297E7 114.55	2013-09-04
['7.0024297E7', '114.55', '2013-09-04']
7.1978605E7 114.87	2013-09-05
['7.1978605E7', '114.87', '2013-09-05']
7.3944168E7 115.04	2013-09-06
['7.3944168E7', '115.04', '2013-09-06']
7.5920937E7 116.74	2013-09-09
['7.5920937E7', '116.74', '2013-09-09']
7.8493696E7 117.59	2013-09-10
['7.8493696E7', '117.59', '2013-09-10']
8.0381966E7 118.71	2013-09-11
['8.0381966E7', '118.71', '2013-09-11']
7.7982133E7 118.2	2013-09-12
['7.7982133E7', '118.2', '2013-09-12']
7.9955429E7 118.6	2013-09-13
['7.9955429E7', '118.6', '2013-09-13']
8.2714155E7 119.23	2013-09-16
['8.2714155E7', '119.23', '2013-09-16']
8.5150293E7 119.93	2013-09-17
['8.5150293E7', '119.93', '2013-09-17']
8.8458039E7 121.29	2013-09-18
['8.8458039E7', '121.29', '2013-09-18']
9.1370369E7 121.57	2013-09-19
['9.1370369E7', '121.57', '2013-09-19']
8.436211E7 120.01	2013-09-20
['8.436211E7', '120.01', '2013-09-20']
8.7830657E7 121.11	2013-09-23
['8.7830657E7', '121.11', '2013-09-23']
8.4245528E7 120.8	2013-09-24
['8.4245528E7', '120.8', '2013-09-24']
8.2071809E7 120.2	2013-09-25
['8.2071809E7', '120.2', '2013-09-25']
8.4312758E7 120.66	2013-09-26
['8.4312758E7', '120.66', '2013-09-26']
8.2284635E7 120.22	2013-09-27
['8.2284635E7', '120.22', '2013-09-27']
8.0179937E7 119.41	2013-09-30
['8.0179937E7', '119.41', '2013-09-30']
8.2036264E7 119.62	2013-10-01
['8.2036264E7', '119.62', '2013-10-01']
7.9979615E7 119.2	2013-10-02
['7.9979615E7', '119.2', '2013-10-02']
